simbad_MAIN_ID,simbad_RA_ICRS,simbad_DEC_ICRS,simbad_ID_HD,simbad_SP_TYPE,simbad_OTYPE,simbad_OTYPE_V,simbad_OTYPE_3,simbad_RA_current,simbad_DEC_current,DEC,RA,simbad_separation_RADEC_ICRSJ2000,simbad_separation_RADEC_current,simbad_FLUX_V,simbad_PMRA,simbad_PMDEC,simbad_FLUX_R,simbad_FLUX_G,simbad_FLUX_J,simbad_FLUX_H,simbad_FLUX_K,simbad_FLUX_I,visible_from_Paranal
SZ 130,16 00 31.0374,-41 43 36.991,,M1.5,TTau*,T Tau-type Star,TT*,16 00 31.0400,-41 43 36.978,-41 43 36.9911,16 00 31.0375,0.001051871801902514,0.030962870077757512,14.710000038146973,-10.863,-23.165,13.5600004196167,13.682299613952637,10.729999542236328,9.935999870300293,9.616999626159668,12.460000038146973,True
Gaia DR2 6046081778190577920,16 29 44.2528,-24 41 22.316,,,Star,Star,*,16 29 44.2548,-24 41 22.301,-24 41 22.3161,16 29 44.2528,0.00012642619745048363,0.03104779280872829,,,,,13.695799827575684,,,,,True
CoKu Tau-Aur Star 4,04 41 16.8106,+28 40 00.077,,M1.5e,TTau*,T Tau-type Star,TT*,04 41 16.8127,+28 40 00.061,28 40 00.0772,4 41 16.8106,0.0003354337796069439,0.03176230966442338,14.680000305175781,4.136,-22.419,14.59000015258789,13.718299865722656,10.15999984741211,9.07699966430664,8.656000137329102,,True
SZ   4,10 57 42.1008,-76 59 35.640,,M4Ve,TTau*,T Tau-type Star,TT*,10 57 42.1071,-76 59 35.654,-76 59 35.64,10 57 42.1008,4.708731809949723e-05,0.025415870819460624,14.800000190734863,-9.2,0.0,13.150000190734863,13.719099998474121,10.432999610900879,9.562999725341797,9.246000289916992,12.170000076293945,True
V* FN Cha,11 10 04.6715,-76 35 45.254,,K5Ve,Orion_V*,Variable Star of Orion Type,Or*,11 10 04.6780,-76 35 45.268,-76 35 45.2549,11 10 04.6716,0.000988552227337524,0.025839583471031626,14.680000305175781,-20.699,-1.03,13.890000343322754,13.725700378417969,10.5649995803833,9.63599967956543,9.239999771118164,12.390000343322754,True
SZ 118,16 09 48.6557,-39 11 16.846,,K6,YSO,Young Stellar Object,Y*O,16 09 48.6582,-39 11 16.832,-39 11 16.846,16 09 48.6557,0.0004115991762310645,0.03191250683791443,16.899999618530273,-10.196,-23.655,16.610000610351562,13.728599548339844,10.456000328063965,9.35099983215332,8.6850004196167,15.0,True
EM* SR   22,16 25 24.3511,-24 29 44.380,,M0e,Orion_V*,Variable Star of Orion Type,Or*,16 25 24.3532,-24 29 44.366,-24 29 44.3808,16 25 24.3512,0.001352985197937206,0.031242185102396756,,-6.76,-26.91,14.520000457763672,13.74020004272461,10.748000144958496,9.871000289916992,9.446000099182129,12.880000114440918,True
USNO-B1.0 1172-00072216,04 20 39.1897,+27 17 31.780,,M4.5V,TTau*,T Tau-type Star,TT*,04 20 39.1918,+27 17 31.766,27 17 31.7808,4 20 39.1897,0.0009823237920746084,0.031141975051628978,,10.415,-26.085,,13.744500160217285,10.496999740600586,9.86299991607666,9.5600004196167,,True
V* V1193 Sco,16 08 51.5694,-39 03 17.705,,M4.5,Orion_V*,Variable Star of Orion Type,Or*,16 08 51.5719,-39 03 17.692,-39 03 17.7058,16 08 51.5695,0.0010413591648067014,0.031582383389202544,14.579999923706055,-9.579,-23.389,13.720000267028809,13.748000144958496,10.967000007629395,10.220000267028809,9.746000289916992,12.279999732971191,True
V* FZ Tau,04 32 31.7629,+24 20 03.057,,M0,Orion_V*,Variable Star of Orion Type,Or*,04 32 31.7649,+24 20 03.042,24 20 03.0575,4 32 31.7629,0.0006948956822946916,0.031063809675203946,,7.121,-21.497,15.039999961853027,13.767900466918945,9.895000457763672,8.399999618530273,7.3470001220703125,,True
V* FY Tau,04 32 30.5786,+24 19 57.364,,M0.1,Orion_V*,Variable Star of Orion Type,Or*,04 32 30.5806,+24 19 57.349,24 19 57.3647,4 32 30.5786,0.0009008542707829894,0.031058160548237082,13.489999771118164,6.651,-21.855,14.170000076293945,13.774399757385254,9.982000350952148,8.675999641418457,8.052000045776367,,True
THA 15-37,16 09 44.3608,-39 13 30.167,,M2,YSO,Young Stellar Object,Y*O,16 09 44.3633,-39 13 30.153,-39 13 30.1673,16 09 44.3608,0.0005717905766698023,0.03190133509502084,14.59000015258789,-8.248,-24.451,14.199999809265137,13.77649974822998,10.675000190734863,9.843000411987305,9.42300033569336,12.380000114440918,True
UCAC4 568-011667,04 39 04.5526,+23 33 19.554,,M5.0,Star,Star,*,04 39 04.5546,+23 33 19.539,23 33 19.5546,4 39 04.5527,0.0012900702912617239,0.03058357693720283,15.392000198364258,,,,13.78279972076416,10.479000091552734,9.892999649047852,9.616999626159668,,True
NAME THA 15-10A,15 55 50.2817,-38 01 33.696,,M4.5,YSO,Young Stellar Object,Y*O,15 55 50.2841,-38 01 33.684,-38 01 33.6969,15 55 50.2817,0.0009215517217403576,0.031039097583141387,,-11.659,-22.951,,13.794099807739258,,,,,True
BKLT J162715-245137,16 27 15.1288,-24 51 38.809,,M2,TTau*,T Tau-type Star,TT*,16 27 15.1308,-24 51 38.794,-24 51 38.809,16 27 15.1288,0.00024354334190659755,0.030891184202356783,15.020000457763672,-6.073,-28.517,13.859999656677246,13.804499626159668,10.619000434875488,9.77400016784668,9.392000198364258,12.380000114440918,True
V* DD Tau,04 18 31.1271,+28 16 29.158,,M3.5e+M3.5e,Orion_V*,Variable Star of Orion Type,Or*,04 18 31.1293,+28 16 29.144,28 16 29.1586,4 18 31.1272,0.0012556803688264847,0.03158463389807832,14.100000381469727,8.816,-25.644,13.760000228881836,13.807999610900879,9.829999923706055,8.682000160217285,7.877999782562256,,True
2MASS J04414565+2301580,04 41 45.6493,+23 01 58.016,,M4.3,TTau*,T Tau-type Star,TT*,04 41 45.6513,+23 01 58.001,23 01 58.0168,4 41 45.6494,0.001567788067948315,0.03066757539326402,15.199999809265137,8.3,-21.553,14.869999885559082,13.826700210571289,10.73799991607666,10.095999717712402,9.854000091552734,,True
V* CZ Tau,04 18 31.5906,+28 16 58.161,,M2,Orion_V*,Variable Star of Orion Type,Or*,04 18 31.5928,+28 16 58.147,28 16 58.1618,4 18 31.5907,0.0014153297265048393,0.03156760253144541,15.699999809265137,5.0,-28.5,14.770000457763672,13.827500343322754,10.517000198364258,9.77400016784668,9.362000465393066,,True
DoAr 43,16 31 30.8845,-24 24 39.908,,K2Ve,Em*,Emission-line Star,Em*,16 31 30.8865,-24 24 39.893,-24 24 39.9081,16 31 30.8845,0.00018240513796636908,0.031037398863968602,15.229999542236328,-8.908,-22.93,15.199999809265137,13.8326997756958,10.82699966430664,9.291000366210938,7.900000095367432,,True
Haro 1-17,16 32 21.9312,-24 42 14.835,,M2.5e,YSO,Young Stellar Object,Y*O,16 32 21.9332,-24 42 14.820,-24 42 14.836,16 32 21.9313,0.0012196043692799087,0.030936777136177356,15.609999656677246,-4.737,-24.351,14.099999656677246,13.83899974822998,10.46500015258789,9.550000190734863,9.151000022888184,,True
V* GO Tau,04 43 03.0761,+25 20 18.708,,M2.3,Orion_V*,Variable Star of Orion Type,Or*,04 43 03.0781,+25 20 18.692,25 20 18.7083,4 43 03.0762,0.0012272796424818617,0.030613540821982952,14.399999618530273,4.727,-20.205,12.909999618530273,13.84179973602295,10.711999893188477,9.776000022888184,9.331999778747559,,True
V* XX Cha,11 11 39.6733,-76 20 15.037,,M3Ve,Orion_V*,Variable Star of Orion Type,Or*,11 11 39.6796,-76 20 15.050,-76 20 15.0375,11 11 39.6733,0.0005613900757656791,0.025453039539583493,15.279999732971191,-21.902,0.084,13.719999732971191,13.859199523925781,10.470999717712402,9.51200008392334,8.873000144958496,12.5600004196167,True
SZ  76,15 49 30.7354,-35 49 51.418,,M3.2,TTau*,T Tau-type Star,TT*,15 49 30.7378,-35 49 51.406,-35 49 51.4183,15 49 30.7355,0.0007209445072107229,0.031076317452327796,,-12.767,-23.37,,13.875699996948242,10.960000038146973,10.279999732971191,10.022000312805176,,True
Ass Cha T 1-15,11 07 43.6609,-77 39 41.135,,K5Ve,Orion_V*,Variable Star of Orion Type,Or*,11 07 43.6677,-77 39 41.148,-77 39 41.1354,11 07 43.6609,0.0004001314934043504,0.02516717426798849,15.34000015258789,-23.038,-0.294,14.37000015258789,13.879400253295898,10.164999961853027,8.975000381469727,8.258000373840332,12.670000076293945,True
2MASS J04555605+3036209,04 55 56.0661,+30 36 20.447,,M4.0,TTau*,T Tau-type Star,TT*,04 55 56.0682,+30 36 20.430,30 36 20.4475,4 55 56.0662,0.000889324301913082,0.03169045918351847,,,,,13.90369987487793,10.470999717712402,9.65999984741211,9.267000198364258,,True
V* PU Car,11 08 53.6898,-75 21 36.001,,M1Ve,Cepheid,Cepheid variable Star,Ce*,11 08 53.6958,-75 21 36.014,-75 21 36.0012,11 08 53.6899,0.00040282926506482415,0.0258005098889591,,-22.375,0.537,,13.90369987487793,10.979999542236328,10.069999694824219,9.555999755859375,,True
SZ  66,15 39 28.2834,-34 46 18.086,,M2,TTau*,T Tau-type Star,TT*,15 39 28.2858,-34 46 18.075,-34 46 18.0865,15 39 28.2835,0.001319239241991789,0.030609610315165302,,-13.602,-21.565,14.510000228881836,13.906000137329102,10.892999649047852,9.885000228881836,9.288000106811523,12.5600004196167,True
2MASS J04341099+2251445,04 34 10.9942,+22 51 44.397,,M1.5,TTau*,T Tau-type Star,TT*,04 34 10.9962,+22 51 44.382,22 51 44.3979,4 34 10.9943,0.0014741749480519744,0.030926293075812974,15.1899995803833,8.903,-17.267,13.7799995803833,13.91670036315918,10.593000411987305,9.744000434875488,9.425999641418457,,True
YLW 37,16 26 46.4318,-24 12 00.041,,G3.5,TTau*,T Tau-type Star,TT*,16 26 46.4338,-24 12 00.026,-24 12 00.0413,16 26 46.4319,0.0009542455547400324,0.030556818610164,,-2.7,-25.318,13.899999618530273,13.923299789428711,9.682000160217285,8.305999755859375,7.485000133514404,12.369999885559082,True
[HJS91] 4872B,04 25 17.4967,+26 17 48.275,,M1e,TTau*,T Tau-type Star,TT*,04 25 17.4987,+26 17 48.260,26 17 48.2756,4 25 17.4967,0.0005663124175388582,0.03097698537586063,13.859999656677246,,,12.499999656677247,13.92590045928955,10.739999771118164,,9.345000267028809,,True
V* HO Tau,04 35 20.2103,+22 32 14.557,,M0.5,Orion_V*,Variable Star of Orion Type,Or*,04 35 20.2123,+22 32 14.541,22 32 14.5571,4 35 20.2104,0.0010876311824484048,0.031089603257148477,15.199999809265137,9.832,-16.63,13.889999809265136,13.926899909973145,11.20199966430664,10.244000434875488,9.730999946594238,,True
2MASS J05061674+2446102,05 06 16.7521,+24 46 10.158,,M3/5e,TTau*,T Tau-type Star,TT*,05 06 16.7540,+24 46 10.141,24 46 10.1584,5 06 16.7522,0.0008140574295896367,0.030618995112393778,,2.718,-17.464,,13.978500366210938,10.791999816894531,10.090999603271484,9.8149995803833,,True
V* VV Cha A,11 07 28.1993,-76 52 12.006,,,Star,Star,*,11 07 28.2058,-76 52 12.019,-76 52 12.0062,11 07 28.1994,0.0003093909171654568,0.02537519489548234,,-19.925,-2.325,,13.987500190734863,,,,,True
IRAS 04125+2902,04 15 42.7868,+29 09 59.826,,M0,TTau*,T Tau-type Star,TT*,04 15 42.7890,+29 09 59.812,29 09 59.8262,4 15 42.7869,0.0007109953337280993,0.03151690242805018,15.487000465393066,12.336,-17.754,13.954000473022461,13.991000175476074,10.708999633789062,9.760000228881836,9.37600040435791,12.418000221252441,True
V* FW Tau,04 29 29.7037,+26 16 53.064,,M5.5,Orion_V*,Variable Star of Orion Type,Or*,04 29 29.7057,+26 16 53.049,26 16 53.0641,4 29 29.7037,0.0006038201413584506,0.030342700369740103,,8.3,-15.5,15.850000381469727,13.998299598693848,10.34000015258789,9.675000190734863,9.387999534606934,,True
SZ  95,16 07 52.3113,-38 58 06.092,,,TTau*,T Tau-type Star,TT*,16 07 52.3137,-38 58 06.078,-38 58 06.0922,16 07 52.3113,0.0001861167132698943,0.03135357365979745,14.569999694824219,-10.851,-23.387,14.25,14.028599739074707,11.01200008392334,10.282999992370605,10.008999824523926,12.529999732971191,True
Haro 6-36,04 43 20.2256,+29 40 06.053,,M5.5,TTau*,T Tau-type Star,TT*,04 43 20.2277,+29 40 06.037,29 40 06.0532,4 43 20.2257,0.0012870882092986915,0.030715446649052697,,2.607,-22.062,,14.030200004577637,10.402000427246094,9.729999542236328,9.407999992370605,,True
2MASS J04315844+2543299,04 31 58.4512,+25 43 30.018,,M4.9,TTau*,T Tau-type Star,TT*,04 31 58.4533,+25 43 30.003,25 43 30.0184,4 31 58.4513,0.0011341321978119493,0.031385328564698764,15.960000038146973,7.549,-21.144,,14.042799949645996,10.585000038146973,9.82800006866455,9.559000015258789,,True
V* HK Tau,04 31 50.5722,+24 24 17.775,,M0.5,Orion_V*,Variable Star of Orion Type,Or*,04 31 50.5743,+24 24 17.760,24 24 17.7755,4 31 50.5723,0.0014048525883141381,0.03145972543911776,15.100000381469727,4.464,-22.961,13.790000381469726,14.044899940490723,10.451000213623047,9.253000259399414,8.593000411987305,,True
Ass Cha T 1-23,11 09 53.4191,-76 34 25.652,,G9IIIe,Orion_V*,Variable Star of Orion Type,Or*,11 09 53.4255,-76 34 25.665,-76 34 25.6527,11 09 53.4192,0.0007259765762866586,0.02523920095997159,19.5,-26.889,2.127,15.100000381469727,14.057600021362305,9.470000267028809,7.789999961853027,6.456999778747559,13.520000457763672,True
2MASS J04220496+1934483,04 22 04.9622,+19 34 48.399,,M3.5,TTau*,T Tau-type Star,TT*,04 22 04.9641,+19 34 48.384,19 34 48.3992,4 22 04.9623,0.0010201697912991265,0.029967801239633836,,6.757,-12.729,,14.064000129699707,10.095999717712402,9.048999786376953,8.6899995803833,,True
Gaia DR2 163179006011625088,04 14 52.2966,+28 05 59.775,,,Candidate_YSO,Young Stellar Object Candidate,Y*?,04 14 52.2987,+28 05 59.761,28 05 59.7753,4 14 52.2966,0.0004287098111028248,0.0309631630474747,,7.995,-22.161,,14.075699806213379,,,,,True
Gaia DR2 163179006011625088,04 14 52.2966,+28 05 59.775,,,Candidate_YSO,Young Stellar Object Candidate,Y*?,04 14 52.2987,+28 05 59.761,28 05 59.7753,4 14 52.2966,0.0004287098111028248,0.0309631630474747,,7.995,-22.161,,14.075699806213379,,,,,True
2MASS J16254289-2325260,16 25 42.8948,-23 25 26.105,,M2.25,YSO,Young Stellar Object,Y*O,16 25 42.8968,-23 25 26.090,-23 25 26.105,16 25 42.8948,0.0005177673986186052,0.03090352855517245,,-7.322,-24.649,,14.093899726867676,10.694999694824219,9.62399959564209,9.204000473022461,,True
JH 112,04 32 49.1170,+22 53 02.847,,K5.5,TTau*,T Tau-type Star,TT*,04 32 49.1190,+22 53 02.832,22 53 02.8473,4 32 49.1171,0.0007832799649801058,0.030991688272068888,,7.429,-15.794,14.982000350952148,14.097000122070312,10.23799991607666,8.989999771118164,8.168999671936035,,True
2MASS J04355881+2438404,04 35 58.8177,+24 38 40.458,,M3,YSO,Young Stellar Object,Y*O,04 35 58.8197,+24 38 40.442,24 38 40.4581,4 35 58.8178,0.0008223223824101392,0.030955817279502345,,10.201,-15.047,,14.097700119018555,10.90999984741211,10.09000015258789,9.788000106811523,,True
DoAr 15,16 23 34.7908,-23 40 29.950,,K8,Em*,Emission-line Star,Em*,16 23 34.7929,-23 40 29.936,-23 40 29.9505,16 23 34.7909,0.0014032304163982651,0.03115143448080669,,-6.766,-24.811,,14.112299919128418,10.539999961853027,9.324999809265137,8.552000045776367,,True
V* FQ Tau,04 19 12.8126,+28 29 32.981,,M3,Orion_V*,Variable Star of Orion Type,Or*,04 19 12.8147,+28 29 32.967,28 29 32.9813,4 19 12.8126,0.0003505594638248758,0.030963314169221615,,14.6,-27.1,15.0,14.135100364685059,10.491000175476074,9.70199966430664,9.312999725341797,,True
V* FQ Tau,04 19 12.8126,+28 29 32.981,,M3,Orion_V*,Variable Star of Orion Type,Or*,04 19 12.8147,+28 29 32.967,28 29 32.9813,4 19 12.8126,0.0003505594638248758,0.030963314169221615,,14.6,-27.1,15.0,14.135100364685059,10.491000175476074,9.70199966430664,9.312999725341797,,True
JH 223,04 40 49.5107,+25 51 18.966,,M2.8,TTau*,T Tau-type Star,TT*,04 40 49.5127,+25 51 18.951,25 51 18.9668,4 40 49.5108,0.0012887352990266937,0.030389224535152026,,4.382,-19.63,15.09000015258789,14.138799667358398,10.75,9.918999671936035,9.491999626159668,,True
JH 223,04 40 49.5107,+25 51 18.966,,M2.8,TTau*,T Tau-type Star,TT*,04 40 49.5127,+25 51 18.951,25 51 18.9668,4 40 49.5108,0.0012887352990266937,0.030389224535152026,,4.382,-19.63,15.09000015258789,14.138799667358398,10.75,9.918999671936035,9.491999626159668,,True
Gaia DR2 6046081782488969600,16 29 44.3117,-24 41 22.148,,,Star,Star,*,16 29 44.3137,-24 41 22.134,-24 41 22.149,16 29 44.3117,0.000988240595925976,0.031087387416082128,,,,,14.16189956665039,,,,,True
V* GN Tau A,04 39 20.9411,+25 45 01.601,,,Star,Star,*,04 39 20.9432,+25 45 01.585,25 45 01.6011,4 39 20.9412,0.0012900738482948609,0.03150944238909429,,,,,14.184800148010254,,,,,True
V* GN Tau A,04 39 20.9411,+25 45 01.601,,,Star,Star,*,04 39 20.9432,+25 45 01.585,25 45 01.6011,4 39 20.9412,0.0012900738482948609,0.03150944238909429,,,,,14.184800148010254,,,,,True
[XCR2012] TrES J042423+265008,04 24 23.2123,+26 50 08.361,,M3,YSO,Young Stellar Object,Y*O,04 24 23.2143,+26 50 08.347,26 50 08.3619,4 24 23.2123,0.0009619952119467611,0.030414687140145353,,11.491,-18.347,14.479999542236328,14.188899993896484,10.809000015258789,10.02299976348877,9.680999755859375,,True
2MASS J19002906-3656036,19 00 29.0664,-36 56 03.614,,M4,YSO,Young Stellar Object,Y*O,19 00 29.0681,-36 56 03.592,-36 56 03.6141,19 00 29.0664,0.0005633991985953602,0.02972324112005073,15.680000305175781,3.792,-27.954,13.779999732971191,14.22819995880127,10.770000457763672,9.96500015258789,9.571999549865723,,True
2MASS J16335560-2442049,16 33 55.6149,-24 42 05.006,,K7,YSO,Young Stellar Object,Y*O,16 33 55.6169,-24 42 04.991,-24 42 05.0068,16 33 55.615,0.0011245143862576579,0.030784516564250505,,-4.895,-23.37,,14.233400344848633,10.463000297546387,9.357999801635742,8.79699993133545,,True
Cl* Melotte   25     LH      19,04 35 13.1711,+17 25 49.761,,"M4.5,M4",YSO,Young Stellar Object,Y*O,04 35 13.1730,+17 25 49.746,17 25 49.7617,4 35 13.1712,0.0013977032323186456,0.030389602312002138,15.739999771118164,11.307,-18.033,,14.249300003051758,11.0,10.369000434875488,10.057999610900879,,True
V* FV Tau,04 26 53.5415,+26 06 53.942,,K5,Orion_V*,Variable Star of Orion Type,Or*,04 26 53.5435,+26 06 53.928,26 06 53.943,4 26 53.5415,0.0010134330115472265,0.030790952248046448,,25.1,-19.7,15.260000228881836,14.267399787902832,9.916999816894531,8.324999809265137,7.441999912261963,,True
THA 15-42,16 10 51.5851,-38 53 13.768,,M1e,YSO,Young Stellar Object,Y*O,16 10 51.5875,-38 53 13.754,-38 53 13.7682,16 10 51.5851,0.00024016504394401325,0.03127568374984976,14.479999542236328,-9.082,-23.358,14.4399995803833,14.270099639892578,11.092000007629395,10.206999778747559,9.779999732971191,12.949999809265137,True
THA 15-42,16 10 51.5851,-38 53 13.768,,M1e,YSO,Young Stellar Object,Y*O,16 10 51.5875,-38 53 13.754,-38 53 13.7682,16 10 51.5851,0.00024016504394401325,0.03127568374984976,14.479999542236328,-9.082,-23.358,14.4399995803833,14.270099639892578,11.092000007629395,10.206999778747559,9.779999732971191,12.949999809265137,True
2MASS J16230923-2417047,16 23 09.2282,-24 17 05.016,,M,YSO,Young Stellar Object,Y*O,16 23 09.2302,-24 17 05.002,-24 17 05.0166,16 23 09.2282,0.000635494170076897,0.03090413797962697,12.75,-8.85,-23.668,11.49,14.278599739074707,10.319999694824219,8.996999740600586,8.069999694824219,,True
V* WZ Cha,11 10 53.3208,-76 34 32.060,,M4Ve,Orion_V*,Variable Star of Orion Type,Or*,11 10 53.3272,-76 34 32.073,-76 34 32.0604,11 10 53.3208,0.00036838747485831355,0.0255319018469038,15.479999542236328,-21.624,-0.665,13.829999542236328,14.288700103759766,11.258999824523926,10.446999549865723,10.038000106811523,13.069999694824219,True
2MASS J04144739+2803055,04 14 47.3957,+28 03 05.520,,M5.2,TTau*,T Tau-type Star,TT*,04 14 47.3979,+28 03 05.506,28 03 05.52,4 14 47.3958,0.0009746031408717425,0.031449002351872646,,10.157,-26.128,,14.291500091552734,10.795999526977539,10.168000221252441,9.916999816894531,,True
2MASS J04153916+2818586,04 15 39.1636,+28 18 58.529,,M4.0,TTau*,T Tau-type Star,TT*,04 15 39.1657,+28 18 58.515,28 18 58.5291,4 15 39.1636,0.00011774570613044371,0.030993677092937592,,9.248,-24.384,,14.294599533081055,10.550999641418457,9.609999656677246,9.234999656677246,,True
THA 15-24,16 08 21.8039,-39 04 21.489,,M3,YSO,Young Stellar Object,Y*O,16 08 21.8064,-39 04 21.476,-39 04 21.4896,16 08 21.8039,0.0007495946029014895,0.03167088644110639,14.609999656677246,-9.144,-24.139,14.670000076293945,14.296099662780762,11.241999626159668,10.550999641418457,10.215999603271484,12.920000076293945,True
Gaia DR2 3415706130945884416,05 12 27.6188,+22 53 49.384,,,Star,Star,*,05 12 27.6207,+22 53 49.367,22 53 49.3847,5 12 27.6188,0.0008138503993458594,0.031352536906468484,,,,,14.302900314331055,,,,,True
V* UY Cha,11 06 59.0259,-77 18 53.406,,M4Ve,Orion_V*,Variable Star of Orion Type,Or*,11 06 59.0325,-77 18 53.419,-77 18 53.4064,11 06 59.0259,0.00036857760620675263,0.025078995002581685,,-23.319,1.714,,14.303999900817871,11.204000473022461,10.42300033569336,10.003000259399414,12.970000267028809,True
2MASS J16224539-2431237,16 22 45.4062,-24 31 24.499,,M3,Candidate_TTau*,T Tau star Candidate,TT?,16 22 45.4082,-24 31 24.484,-24 31 24.4993,16 22 45.4062,0.0006196788135242635,0.030791205421889064,,,,,14.30459976196289,10.376999855041504,9.437999725341797,9.062999725341797,,True
V* FS Tau,04 22 02.1925,+26 57 30.331,,M3.5e+M0e,Orion_V*,Variable Star of Orion Type,Or*,04 22 02.1945,+26 57 30.316,26 57 30.3311,4 22 02.1925,8.071186791971438e-05,0.030689834298971493,14.100000381469727,30.7,-39.0,15.630000114440918,14.320799827575684,10.704999923706055,9.244000434875488,8.178000450134277,,True
2MASS J04372171+2651014,04 37 21.7227,+26 51 01.497,,M4,low-mass*,Low-mass star (M<1solMass),LM*,04 37 21.7247,+26 51 01.481,26 51 01.4973,4 37 21.7227,0.0005739841372529885,0.030934183796975368,,8.634,-26.989,,14.337400436401367,11.29800033569336,10.656000137329102,10.38599967956543,,True
2MASS J04390163+2336029,04 39 01.6333,+23 36 02.959,,M6,TTau*,T Tau-type Star,TT*,04 39 01.6353,+23 36 02.943,23 36 02.9593,4 39 01.6333,0.0006933635609972905,0.03139836928586039,,8.567,-21.851,15.199999809265137,14.3503999710083,11.335000038146973,10.595000267028809,10.1850004196167,12.800000190734863,True
2MASS J16453548-2414226,16 45 35.4828,-24 14 22.701,,,Candidate_LP*,Long Period Variable candidate,LP?,16 45 35.4848,-24 14 22.685,-24 14 22.7018,16 45 35.4829,0.001123964020704276,0.0313885673239332,,-2.443,-6.712,,14.382699966430664,9.96500015258789,8.781999588012695,8.295000076293945,,True
THA 15-20,16 07 11.5876,-39 03 47.490,,M0.5,TTau*,T Tau-type Star,TT*,16 07 11.5900,-39 03 47.477,-39 03 47.4909,16 07 11.5876,0.0008937091555800532,0.031048449966908368,14.579999923706055,-10.201,-22.851,14.109999656677246,14.387299537658691,11.055000305175781,10.12399959564209,9.847999572753906,12.920000076293945,True
WSB 40,16 26 48.6594,-23 56 34.139,,K5.5,TTau*,T Tau-type Star,TT*,16 26 48.6614,-23 56 34.124,-23 56 34.1396,16 26 48.6594,0.0007206609279121058,0.031164718266355307,,-6.8,-27.885,14.449999809265137,14.391799926757812,10.430999755859375,9.184000015258789,8.449000358581543,12.920000076293945,True
2MASS J05080709+2427123,05 08 07.0999,+24 27 12.315,,M4,Candidate_YSO,Young Stellar Object Candidate,Y*?,05 08 07.1019,+24 27 12.298,24 27 12.3158,5 08 07.1,0.001342253846928762,0.031677085820843394,,2.072,-17.367,,14.397000312805176,11.395999908447266,10.701000213623047,10.480999946594238,,True
2MASS J05044139+2509544,05 04 41.3974,+25 09 54.581,,M3.7,TTau*,T Tau-type Star,TT*,05 04 41.3994,+25 09 54.564,25 09 54.5819,5 04 41.3975,0.0013153961812089542,0.031683305400179516,,2.161,-16.9,,14.419099807739258,10.913000106811523,10.010000228881836,9.597000122070312,,True
SZ  84,15 58 02.5212,-37 36 02.733,,M5.0e,TTau*,T Tau-type Star,TT*,15 58 02.5236,-37 36 02.720,-37 36 02.7333,15 58 02.5212,0.00033217139344042805,0.03134146609460576,,-13.224,-22.804,,14.418999671936035,10.930999755859375,10.20199966430664,9.852999687194824,,True
IRAS 04187+1927,04 21 43.2354,+19 34 13.310,,M2.4,TTau*,T Tau-type Star,TT*,04 21 43.2373,+19 34 13.295,19 34 13.31,4 21 43.2355,0.0007123378275174073,0.03014108669463827,,5.7,-11.755,15.40999984741211,14.422200202941895,10.1850004196167,8.725000381469727,8.020999908447266,,True
SZ  40,11 12 09.8315,-76 34 36.496,,M4.5Ve,Orion_V*,Variable Star of Orion Type,Or*,11 12 09.8379,-76 34 36.509,-76 34 36.4964,11 12 09.8315,0.0004186868991815515,0.025551839961114674,,-21.715,-0.761,,14.432700157165527,10.960000038146973,10.175999641418457,9.84000015258789,13.40999984741211,True
2MASS J04360131+1726120,04 36 01.3132,+17 26 12.091,,M3,TTau*,T Tau-type Star,TT*,04 36 01.3150,+17 26 12.075,17 26 12.0911,4 36 01.3132,0.0004954640382852233,0.029936894379230916,,12.519,-18.624,,14.444199562072754,11.104999542236328,10.270999908447266,9.6899995803833,,True
2MASS J05075496+2500156,05 07 54.9656,+25 00 15.599,,M3.7,TTau*,T Tau-type Star,TT*,05 07 54.9675,+25 00 15.582,25 00 15.5994,5 07 54.9656,0.0003859345145617126,0.03105750595573403,,3.512,-17.566,,14.44540023803711,11.414999961853027,10.704999923706055,10.399999618530273,,True
IRAS F04147+2822,04 17 49.6578,+28 29 36.325,,M3.7,TTau*,T Tau-type Star,TT*,04 17 49.6599,+28 29 36.311,28 29 36.3252,4 17 49.6578,0.0002655436901801002,0.031051386018620404,,6.904,-24.624,,14.444600105285645,11.020000457763672,9.732999801635742,9.081000328063965,,True
VSS   XI-2,04 31 15.7846,+18 20 07.068,,M4.25,TTau*,T Tau-type Star,TT*,04 31 15.7865,+18 20 07.053,18 20 07.0683,4 31 15.7847,0.0011360075124670248,0.030104798836241224,15.720000267028809,12.327,-18.074,,14.455599784851074,11.210000038146973,10.550000190734863,10.303999900817871,,True
SZ 112,16 08 55.5292,-39 02 33.939,,M6,YSO,Young Stellar Object,Y*O,16 08 55.5316,-39 02 33.926,-39 02 33.9398,16 08 55.5292,0.0008971283657773949,0.03085375065044637,15.390000343322754,-10.306,-24.324,14.779999732971191,14.471400260925293,11.003999710083008,10.28600025177002,9.961999893188477,12.930000305175781,True
2MASS J04343128+1722201,04 34 31.2885,+17 22 20.117,,M4.25,Candidate_YSO,Young Stellar Object Candidate,Y*?,04 34 31.2903,+17 22 20.102,17 22 20.1176,4 34 31.2885,0.0005679999939001005,0.03010602683986465,,12.135,-19.784,15.050000190734863,14.474599838256836,11.204999923706055,10.49899959564209,10.234000205993652,14.359999656677246,True
